beat_index,peak_time_s,rr_prev_s,rr_next_s,rr_baseline_s,prematurity_index,qrs_width_ms,pvc_score,morphology_score,is_pvc_candidate
0,0.13055555555555556,,0.45277777777777783,0.5805555555557476,,44.44444444444444,0.04379853212293567,0.9981309513168755,0
1,0.5833333333333334,0.45277777777777783,0.7611111111111112,0.5805555555557476,0.7799043062198379,108.33333333333333,0.6290367850073204,0.8499422152293515,1
2,1.3444444444444446,0.7611111111111112,0.5916666666666666,0.5805555555557476,1.3110047846885617,44.44444444444444,0.08421731430465368,0.9983626627903284,0
3,1.9361111111111111,0.5916666666666666,0.4361111111111111,0.5805555555557476,1.019138755980524,94.44444444444444,0.37308436828095604,0.9001297912895536,0
4,2.3722222222222222,0.4361111111111111,0.911111111111111,0.5805555555557476,0.7511961722485554,105.55555555555556,0.6453942798562244,0.8189625802855227,1
5,3.283333333333333,0.911111111111111,0.5472222222222225,0.5805555555557476,1.5693779904301028,41.666666666666664,0.047353098806930144,0.997968112378781,0
6,3.8305555555555557,0.5472222222222225,0.5583333333333336,0.5805555555557476,0.942583732057105,108.33333333333333,0.49295645908151986,0.8243961606200141,0
7,4.388888888888889,0.5583333333333336,0.780555555555555,0.5805555555557476,0.9617224880379599,113.88888888888889,0.4899552275976441,0.8113636556150018,0
8,5.169444444444444,0.780555555555555,0.5555555555555554,0.5805555555557476,1.3444976076550568,44.44444444444444,0.07630194418597426,0.9979788220139001,0
9,5.725,0.5555555555555554,0.5111111111111111,0.5805555555557476,0.9569377990427453,111.11111111111111,0.490442028099236,0.7944564381804604,0
10,6.236111111111111,0.5111111111111111,0.8722222222222227,0.5805555555557476,0.8803827751193259,113.88888888888889,0.5683381878536355,0.8033064979514459,1
11,7.108333333333333,0.8722222222222227,0.5250000000000004,0.5805555555557476,1.5023923444971115,41.666666666666664,0.051790599203069866,0.9959487197032447,0
12,7.633333333333334,0.5250000000000004,0.5083333333333337,0.5805555555557476,0.9043062200953953,111.11111111111111,0.5371242020241892,0.8193058878206558,1
13,8.141666666666667,0.5083333333333337,0.75,0.5805555555557476,0.875598086124113,108.33333333333333,0.5554890671063414,0.8278404176379123,1
14,8.891666666666667,0.75,0.591666666666665,0.5805555555557476,1.2918660287077066,47.22222222222222,0.09360409538065191,0.9963442163326864,0
15,9.483333333333333,0.591666666666665,0.533333333333335,0.5805555555557476,1.0191387559805214,113.88888888888889,0.4366803088559355,0.805666961945863,0
16,10.016666666666667,0.533333333333335,0.7777777777777768,0.5805555555557476,0.9186602870810388,108.33333333333333,0.5144030258997516,0.8345146422057486,1
17,10.794444444444444,0.7777777777777768,0.5888888888888886,0.5805555555557476,1.3397129186598422,44.44444444444444,0.07742071232137046,0.9974637662506812,0
18,11.383333333333333,0.5888888888888886,0.4666666666666668,0.5805555555557476,1.01435406698531,91.66666666666667,0.37191076818181,0.8884369309518242,0
19,11.85,0.4666666666666668,0.8333333333333339,0.5805555555557476,0.8038277511959067,113.88888888888889,0.6316932826732862,0.8074903980070565,1
20,12.683333333333334,0.8333333333333339,0.5583333333333336,0.5805555555557476,1.4354066985641196,41.666666666666664,0.05825845535292233,0.9960723755949026,0
21,13.241666666666667,0.5583333333333336,0.4944444444444436,0.5805555555557476,0.9617224880379599,100.0,0.44869035778616617,0.8541939580271296,0
22,13.73611111111111,0.4944444444444436,0.7000000000000011,0.5805555555557476,0.8516746411480421,113.88888888888889,0.5927034118576904,0.8102885341815198,1
23,14.436111111111112,0.7000000000000011,0.6055555555555543,0.5805555555557476,1.2057416267938614,44.44444444444444,0.12255569736535771,0.9955836743444467,0
24,15.041666666666666,0.6055555555555543,0.43055555555555536,0.5805555555557476,1.0430622009565906,102.77777777777777,0.3783618581119922,0.868293687599706,0
25,15.472222222222221,0.43055555555555536,0.9138888888888914,0.5805555555557476,0.7416267942581276,111.11111111111111,0.664712158677808,0.8208334188286097,1
26,16.386111111111113,0.9138888888888914,0.5749999999999993,0.5805555555557476,1.574162679425321,44.44444444444444,0.051152463904905826,0.9944589410163702,0
27,16.961111111111112,0.5749999999999993,0.5555555555555536,0.5805555555557476,0.9904306220092406,113.88888888888889,0.4631616996629738,0.8070032253241135,0
28,17.516666666666666,0.5555555555555536,0.7611111111111128,0.5805555555557476,0.9569377990427423,111.11111111111111,0.488130136859084,0.8098690464481602,0
29,18.27777777777778,0.7611111111111128,0.5444444444444443,0.5805555555557476,1.3110047846885646,44.44444444444444,0.08467451875628665,0.9953146331127702,0
30,18.822222222222223,0.5444444444444443,0.46111111111111214,0.5805555555557476,0.9377990430618905,55.55555555555556,0.34953268766232226,0.98228289480583,0
31,19.283333333333335,0.46111111111111214,0.6333333333333329,0.5805555555557476,0.7942583732054808,108.33333333333333,0.6194659895921905,0.846053269561128,1
32,19.916666666666668,0.6333333333333329,0.22777777777777786,0.5805555555557476,1.0909090909087293,41.666666666666664,0.18967672904242075,0.9964485275063169,0
33,20.144444444444446,0.22777777777777786,0.8194444444444429,0.5805555555557476,0.3923444976075259,102.77777777777777,0.7311403683204115,0.8562087631585382,1
34,20.96388888888889,0.8194444444444429,0.56388888888889,0.5805555555557476,1.4114832535880473,83.33333333333333,0.15149596438951915,0.9265509986405744,0
35,21.52777777777778,0.56388888888889,0.5583333333333336,0.5805555555557476,0.9712918660283888,44.44444444444444,0.2994274795784899,0.9905603299920536,0
36,22.086111111111112,0.5583333333333336,0.5444444444444443,0.5805555555557476,0.9617224880379599,41.666666666666664,0.3047418569991261,0.9931279681403516,0
37,22.630555555555556,0.5444444444444443,0.47499999999999787,0.5805555555557476,0.9377990430618905,47.22222222222222,0.33517568390914904,0.9924085440082178,0
38,23.105555555555554,0.47499999999999787,0.5916666666666686,0.5805555555557476,0.8181818181815439,105.55555555555556,0.5931874635277447,0.8540961516413319,1
39,23.697222222222223,0.5916666666666686,0.5416666666666643,0.5805555555557476,1.0191387559805274,41.666666666666664,0.25035124954182797,0.9948691992417729,0
40,24.238888888888887,0.5416666666666643,0.5472222222222243,0.5805555555557476,0.933014354066673,38.888888888888886,0.3300135099581327,0.9874117970501683,0
41,24.78611111111111,0.5472222222222243,0.4555555555555557,0.5805555555557476,0.9425837320571081,44.44444444444444,0.32647291746958607,0.9946646038538496,0
