beat_index,peak_time_s,rr_prev_s,rr_next_s,rr_baseline_s,prematurity_index,qrs_width_ms,pvc_score,is_pvc_candidate
0,0.041666666666666664,,0.7444444444444445,0.7472222222222626,,50.0,0.025683799061532783,0
1,0.7861111111111111,0.7444444444444445,0.7722222222222223,0.7472222222222626,0.996282527880987,41.666666666666664,0.3107400810944753,0
2,1.5583333333333333,0.7722222222222223,0.7694444444444446,0.7472222222222626,1.033457249070576,47.22222222222222,0.27279298209944336,0
3,2.327777777777778,0.7694444444444446,0.7416666666666667,0.7472222222222626,1.0297397769516174,47.22222222222222,0.2770035575176747,0
4,3.0694444444444446,0.7416666666666667,0.733333333333333,0.7472222222222626,0.9925650557620281,41.666666666666664,0.31519619064602034,0
5,3.8027777777777776,0.733333333333333,0.7500000000000004,0.7472222222222626,0.9814126394051509,41.666666666666664,0.32866237610923843,0
6,4.552777777777778,0.7500000000000004,0.75,0.7472222222222626,1.0037174721189055,44.44444444444444,0.30439902302315747,0
7,5.302777777777778,0.75,0.7527777777777773,0.7472222222222626,1.0037174721189048,44.44444444444444,0.3043990230231583,0
8,6.055555555555555,0.7527777777777773,0.7444444444444445,0.7472222222222626,1.0074349442378632,44.44444444444444,0.3000030574383395,0
9,6.8,0.7444444444444445,0.7527777777777782,0.7472222222222626,0.996282527880987,44.44444444444444,0.3132538380040036,0
10,7.552777777777778,0.7527777777777782,0.7444444444444445,0.7472222222222626,1.0074349442378643,44.44444444444444,0.3000030574383381,0
11,8.297222222222222,0.7444444444444445,0.7472222222222218,0.7472222222222626,0.996282527880987,44.44444444444444,0.3132538380040036,0
12,9.044444444444444,0.7472222222222218,0.7583333333333329,0.7472222222222626,0.9999999999999454,38.888888888888886,0.3040942191799246,0
13,9.802777777777777,0.7583333333333329,0.7416666666666671,0.7472222222222626,1.014869888475781,44.44444444444444,0.29128065496261507,0
14,10.544444444444444,0.7416666666666671,0.7527777777777782,0.7472222222222626,0.9925650557620287,41.666666666666664,0.3151961906460197,0
15,11.297222222222222,0.7527777777777782,0.7694444444444439,0.7472222222222626,1.0074349442378643,47.22222222222222,0.30285734126462094,0
16,12.066666666666666,0.7694444444444439,0.7527777777777782,0.7472222222222626,1.0297397769516166,47.22222222222222,0.27700355751767575,0
